"id","meeting_id","user_id","type","secretary_id","deputy_secretary_id","commissioner_ids","date_time"
"1850","100000079","202","1","211","202",,"2020-5-14 11:46:04"
"1851","100000079","202","2","0","0","24,193","2020-5-14 11:46:04"
"1852","100000079","202","3","0","0","43","2020-5-14 11:46:04"
"1853","100000079","202","4","0","0","195,191","2020-5-14 11:46:04"
"1862","100000084","204","1","204","0",,"2020-5-14 17:19:09"
"1863","100000084","204","2","0","202","213","2020-5-14 17:19:09"
"1864","100000084","204","3","0","0",,"2020-5-14 17:19:09"
"1865","100000084","204","4","0","211","202","2020-5-14 17:19:09"
"1866","100000084","211","1","0","0","213","2020-5-14 17:19:10"
"1867","100000084","211","2","0","202",,"2020-5-14 17:19:10"
"1868","100000084","211","3","204","0","211","2020-5-14 17:19:10"
"1869","100000084","211","4","0","211",,"2020-5-14 17:19:10"
"1870","100000085","204","1","0","0","195","2020-5-14 17:48:52"
"1871","100000085","204","2","0","211","197","2020-5-14 17:48:52"
"1872","100000085","204","3","204","0",,"2020-5-14 17:48:52"
"1873","100000085","204","4","0","202",,"2020-5-14 17:48:52"
"1874","100000085","211","1","204","211","195","2020-5-14 17:49:49"
"1875","100000085","211","2","0","0",,"2020-5-14 17:49:49"
"1876","100000085","211","3","0","0",,"2020-5-14 17:49:49"
"1877","100000085","211","4","0","0",,"2020-5-14 17:49:49"
"1878","100000088","109","1","108","96","99,105,104","2020-5-15 15:20:01"
"1879","100000088","109","2","0","0",,"2020-5-15 15:20:01"
"1880","100000088","109","3","0","0",,"2020-5-15 15:20:01"
"1881","100000088","109","4","0","0",,"2020-5-15 15:20:01"
"1882","100000088","100","1","108","0","105","2020-5-15 15:25:14"
"1883","100000088","100","2","0","0","101,100","2020-5-15 15:25:14"
"1884","100000088","100","3","0","96","99,104","2020-5-15 15:25:14"
"1885","100000088","100","4","0","0","54,110","2020-5-15 15:25:14"
"1886","100000088","97","1","108","0","99,105,104","2020-5-15 15:53:48"
"1887","100000088","97","2","0","96",,"2020-5-15 15:53:48"
"1888","100000088","97","3","0","0","101,100","2020-5-15 15:53:48"
"1889","100000088","97","4","0","107",,"2020-5-15 15:53:48"
"1890","100000088","104","1","108","96","99,105,104","2020-5-15 15:54:03"
"1891","100000088","104","2","0","0",,"2020-5-15 15:54:03"
"1892","100000088","104","3","0","0",,"2020-5-15 15:54:03"
"1893","100000088","104","4","0","0",,"2020-5-15 15:54:03"
"1894","100000088","98","1","0","96","99,105,101","2020-5-15 15:54:03"
"1895","100000088","98","2","108","0",,"2020-5-15 15:54:03"
"1896","100000088","98","3","0","0",,"2020-5-15 15:54:03"
"1897","100000088","98","4","107","0",,"2020-5-15 15:54:03"
"1898","100000088","101","1","0","0","101","2020-5-15 15:57:21"
"1899","100000088","101","2","108","0","99,105","2020-5-15 15:57:21"
"1900","100000088","101","3","0","96","104","2020-5-15 15:57:21"
"1901","100000088","101","4","110","0","108,98","2020-5-15 15:57:21"
"1902","100000088","105","1","108","0","105","2020-5-15 15:57:20"
"1903","100000088","105","2","0","0","99,101","2020-5-15 15:57:20"
"1904","100000088","105","3","0","96","104","2020-5-15 15:57:20"
"1905","100000088","105","4","0","0","110,109","2020-5-15 15:57:20"
"1906","100000088","99","1","0","96","99","2020-5-15 15:57:48"
"1907","100000088","99","2","108","0",,"2020-5-15 15:57:48"
"1908","100000088","99","3","0","0","105,104,101,100","2020-5-15 15:57:48"
"1909","100000088","99","4","110","0",,"2020-5-15 15:57:48"
"1910","100000090","99","1","100","101","99,109","2020-5-19 14:49:37"
"1911","100000090","99","2","0","0",,"2020-5-19 14:49:37"
"1912","100000090","99","3","0","0",,"2020-5-19 14:49:37"
"1913","100000090","99","4","0","0",,"2020-5-19 14:49:37"
"1914","100000091","116","1","0","0",,"2020-5-21 15:19:27"
"1915","100000091","116","2","0","0",,"2020-5-21 15:19:27"
"1916","100000091","116","3","116","115","97,114","2020-5-21 15:19:27"
"1917","100000091","116","4","0","0",,"2020-5-21 15:19:27"
"1918","100000091","114","1","116","0","97","2020-5-21 15:19:44"
"1919","100000091","114","2","0","0","114","2020-5-21 15:19:44"
"1920","100000091","114","3","0","115",,"2020-5-21 15:19:44"
"1921","100000091","114","4","0","0",,"2020-5-21 15:19:44"
"1922","100000091","96","1","0","0","97","2020-5-21 15:20:58"
"1923","100000091","96","2","116","115",,"2020-5-21 15:20:58"
"1924","100000091","96","3","0","0","114","2020-5-21 15:20:58"
"1925","100000091","96","4","115","116",,"2020-5-21 15:20:58"
"1926","100000091","115","1","116","0",,"2020-5-21 15:24:37"
"1927","100000091","115","2","0","0","97","2020-5-21 15:24:37"
"1928","100000091","115","3","0","115",,"2020-5-21 15:24:37"
"1929","100000091","115","4","0","0","113","2020-5-21 15:24:37"
"1930","100000091","97","1","116","115",,"2020-5-21 15:26:04"
"1931","100000091","97","2","0","0","97","2020-5-21 15:26:04"
"1932","100000091","97","3","0","0","114","2020-5-21 15:26:04"
"1933","100000091","97","4","0","0","96","2020-5-21 15:26:04"
"1934","100000098","96","1","97","115","107,96","2020-5-27 10:44:38"
"1935","100000098","96","2","0","0",,"2020-5-27 10:44:38"
"1936","100000098","96","3","0","0",,"2020-5-27 10:44:38"
"1937","100000098","96","4","0","0",,"2020-5-27 10:44:38"
"1938","100000098","107","1","97","0","107,98","2020-5-27 10:45:53"
"1939","100000098","107","2","0","115",,"2020-5-27 10:45:53"
"1940","100000098","107","3","0","0","96","2020-5-27 10:45:53"
"1941","100000098","107","4","0","110",,"2020-5-27 10:45:53"
"1942","100000125","97","1","113","110","99,97","2020-5-29 14:24:35"
"1943","100000125","97","2","0","0","98","2020-5-29 14:24:35"
"1944","100000125","97","3","0","0","101","2020-5-29 14:24:35"
"1945","100000125","97","4","0","0","17","2020-5-29 14:24:35"
"1946","100000125","99","1","113","0","101,97","2020-5-29 14:24:37"
"1947","100000125","99","2","0","110",,"2020-5-29 14:24:37"
"1948","100000125","99","3","0","0","99,98","2020-5-29 14:24:37"
"1949","100000125","99","4","0","99",,"2020-5-29 14:24:37"
"1950","100000125","101","1","0","110","99,101","2020-5-29 14:24:42"
"1951","100000125","101","2","113","0","98,97","2020-5-29 14:24:42"
"1952","100000125","101","3","0","0",,"2020-5-29 14:24:42"
"1953","100000125","101","4","117","0",",96","2020-5-29 14:24:42"
"1954","100000125","96","1","113","110","99,98","2020-5-29 14:24:48"
"1955","100000125","96","2","0","0","101","2020-5-29 14:24:48"
"1956","100000125","96","3","0","0",,"2020-5-29 14:24:48"
"1957","100000125","96","4","0","0","96","2020-5-29 14:24:48"
"1958","100000125","98","1","113","0","99,98","2020-5-29 14:26:29"
"1959","100000125","98","2","0","0","101,97","2020-5-29 14:26:29"
"1960","100000125","98","3","0","110",,"2020-5-29 14:26:29"
"1961","100000125","98","4","0","0","115,","2020-5-29 14:26:29"
"1962","100000125","113","1","113","110","99,101,98","2020-5-29 14:30:18"
"1963","100000125","113","2","0","0",,"2020-5-29 14:30:18"
"1964","100000125","113","3","0","0",,"2020-5-29 14:30:18"
"1965","100000125","113","4","0","0",,"2020-5-29 14:30:18"
"1966","100000129","96","1","96","0",,"2020-6-1 17:15:39"
"1967","100000129","96","2","0","0",,"2020-6-1 17:15:39"
"1968","100000129","96","3","0","0",,"2020-6-1 17:15:39"
"1969","100000129","96","4","0","0",,"2020-6-1 17:15:39"
