"id","meeting_id","user_id","sign_time"
"1365","100000017","31","2020-4-23 17:59:03"
"1372","100000017","26","2020-4-23 21:06:22"
"1373","100000020","26","2020-4-24 09:49:57"
"1374","100000020","31","2020-4-24 09:49:57"
"1375","100000018","29","2020-4-24 10:18:00"
"1376","100000018","26","2020-4-26 09:38:15"
"1377","100000018","31","2020-4-26 09:38:15"
"1385","100000025","33","2020-4-26 20:02:00"
"1386","100000024","27","2020-4-26 21:26:00"
"1388","100000024","51","2020-4-26 21:30:02"
"1389","100000024","52","2020-4-26 21:30:02"
"1390","100000024","53","2020-4-26 21:30:02"
"1391","100000026","180","2020-4-27 14:18:00"
"1392","100000029","60","2020-4-27 18:02:21"
"1393","100000029","61","2020-4-27 18:02:21"
"1394","100000029","62","2020-4-27 18:02:21"
"1395","100000029","63","2020-4-27 18:02:21"
"1396","100000029","24","2020-4-28 10:17:00"
"1397","100000029","182","2020-4-28 10:30:00"
"1398","100000029","33","2020-4-28 10:50:00"
"1399","100000029","174","2020-4-28 10:52:00"
"1400","100000030","33","2020-4-28 11:26:00"
"1401","100000030","182","2020-4-28 11:27:00"
"1402","100000030","174","2020-4-28 11:28:00"
"1403","100000030","31","2020-4-28 11:28:42"
"1404","100000030","58","2020-4-28 11:28:42"
"1405","100000030","62","2020-4-28 11:28:42"
"1407","100000030","185","2020-4-28 11:28:00"
"1408","100000030","63","2020-4-28 11:29:21"
"1409","100000026","185","2020-4-28 11:38:00"
"1410","100000031","33","2020-4-28 13:45:00"
"1415","100000031","49","2020-4-28 13:46:51"
"1416","100000031","57","2020-4-28 13:46:51"
"1417","100000031","58","2020-4-28 13:46:51"
"1419","100000031","182","2020-4-28 14:01:00"
"1421","100000031","59","2020-4-28 14:08:01"
"1422","100000032","185","2020-4-28 14:51:00"
"1423","100000032","174","2020-4-28 14:53:00"
"1424","100000033","182","2020-4-28 15:01:00"
"1425","100000033","185","2020-4-28 15:02:00"
"1426","100000033","174","2020-4-28 15:03:00"
"1427","100000034","31","2020-4-28 16:02:49"
"1428","100000034","49","2020-4-28 16:02:49"
"1429","100000034","64","2020-4-28 16:02:49"
"1430","100000034","65","2020-4-28 16:02:49"
"1431","100000034","33","2020-4-28 16:03:00"
"1432","100000034","182","2020-4-28 16:04:00"
"1433","100000036","33","2020-4-28 18:25:00"
"1434","100000036","59","2020-4-28 18:25:55"
"1435","100000036","60","2020-4-28 18:25:55"
"1436","100000036","61","2020-4-28 18:25:55"
"1437","100000036","62","2020-4-28 18:25:55"
"1438","100000036","63","2020-4-28 18:25:55"
"1439","100000036","24","2020-4-28 18:26:00"
"1440","100000036","182","2020-4-28 18:26:00"
"1441","100000037","174","2020-4-28 20:09:00"
"1442","100000037","61","2020-4-28 20:09:29"
"1443","100000037","62","2020-4-28 20:09:29"
"1444","100000037","63","2020-4-28 20:09:29"
"1445","100000037","64","2020-4-28 20:09:29"
"1446","100000038","33","2020-4-28 20:16:00"
"1447","100000038","26","2020-4-28 20:16:46"
"1448","100000038","49","2020-4-28 20:16:46"
"1449","100000038","64","2020-4-28 20:16:46"
"1450","100000038","65","2020-4-28 20:16:46"
"1451","100000039","33","2020-4-28 21:41:00"
"1452","100000039","49","2020-4-28 21:42:00"
"1453","100000039","26","2020-4-28 21:42:00"
"1454","100000039","31","2020-4-28 21:42:00"
"1455","100000040","33","2020-4-29 11:16:00"
"1460","100000040","26","2020-4-29 11:34:56"
"1461","100000040","49","2020-4-29 11:34:56"
"1463","100000040","65","2020-4-29 11:34:56"
"1464","100000040","182","2020-4-29 11:38:00"
"1465","100000045","26","2020-4-29 16:40:28"
"1466","100000045","49","2020-4-29 16:40:28"
"1467","100000045","65","2020-4-29 16:40:28"
"1468","100000047","55","2020-4-29 18:05:40"
"1469","100000047","56","2020-4-29 18:05:40"
"1470","100000047","57","2020-4-29 18:05:40"
