"id","admin_id","date_time","function","operate"
"1013","43","28/5/2020 13:45:49","选举管理","查看"
"1014","43","28/5/2020 13:48:18","选举管理","查看"
"1015","43","28/5/2020 13:48:22","选举管理","查看"
"1016","43","28/5/2020 13:48:33","选举管理","新增"
"1017","43","28/5/2020 13:49:05","选举管理","查看"
"1018","43","28/5/2020 13:49:08","选举管理","新增"
"1019","43","28/5/2020 13:49:24","选举管理","查看"
"1020","43","28/5/2020 13:49:27","选举管理","新增"
"1021","43","28/5/2020 13:49:52","选举管理","查看"
"1022","43","28/5/2020 13:52:48","选举管理","新增"
"1023","43","28/5/2020 13:54:47","选举管理","查看"
"1024","43","28/5/2020 13:54:57","选举管理","新增"
"1025","43","28/5/2020 13:57:01","选举管理","查看"
"1026","43","28/5/2020 13:58:15","选举管理","查看"
"1027","43","28/5/2020 13:58:19","选举管理","查看"
"1028","1","28/5/2020 14:02:27","选举管理","查看"
"1029","1","28/5/2020 14:02:30","选举管理","查看"
"1030","1","28/5/2020 14:02:37","组织管理","查看"
"1031","1","28/5/2020 14:03:30","选举管理","查看"
"1032","1","28/5/2020 14:03:34","选举管理","查看"
"1033","1","28/5/2020 14:03:57","选举管理","查看"
"1034","1","28/5/2020 14:04:02","选举管理","查看"
"1035","1","28/5/2020 14:04:15","选举管理","查看"
"1036","1","28/5/2020 14:04:20","选举管理","修改"
"1037","1","28/5/2020 14:04:28","选举管理","查看"
"1038","1","28/5/2020 14:04:30","选举管理","查看"
"1039","1","28/5/2020 14:05:11","组织管理","查看"
"1040","1","28/5/2020 14:05:20","账号管理","查看"
"1041","43","28/5/2020 14:05:37","选举管理","查看"
"1042","43","28/5/2020 14:05:42","选举管理","修改"
"1043","43","28/5/2020 14:05:45","选举管理","查看"
"1044","1","28/5/2020 14:06:14","选举管理","查看"
"1045","43","28/5/2020 14:12:18","选举管理","查看"
"1046","43","28/5/2020 14:12:25","选举管理","查看"
"1047","43","28/5/2020 14:12:32","选举管理","查看"
"1048","43","28/5/2020 14:12:41","选举管理","查看"
"1049","43","28/5/2020 14:12:54","选举管理","查看"
"1050","43","28/5/2020 14:13:14","选举管理","修改"
"1051","43","28/5/2020 14:13:31","选举管理","查看"
"1052","43","28/5/2020 14:13:38","选举管理","查看"
"1053","43","28/5/2020 14:13:41","选举管理","查看"
"1054","43","28/5/2020 14:13:43","选举管理","修改"
"1055","1","28/5/2020 14:15:16","选举管理","查看"
"1056","43","28/5/2020 14:18:21","选举管理","新增"
"1057","43","28/5/2020 14:21:19","选举管理","查看"
"1058","43","28/5/2020 14:21:27","选举管理","查看"
"1059","43","28/5/2020 14:21:48","选举管理","修改"
"1060","43","28/5/2020 14:21:53","选举管理","查看"
"1061","43","28/5/2020 14:26:15","本地管理","查看"
"1062","43","28/5/2020 14:27:09","本地管理","新增"
"1063","43","28/5/2020 14:27:19","本地管理","查看"
"1064","43","28/5/2020 14:27:23","本地管理","修改"
"1065","43","28/5/2020 14:27:26","本地管理","查看"
"1066","43","28/5/2020 14:27:28","本地管理","修改"
"1067","43","28/5/2020 14:28:14","本地管理","新增"
"1068","43","28/5/2020 14:38:47","账号管理","新增"
"1069","43","28/5/2020 14:43:32","本地管理","查看"
"1070","43","28/5/2020 14:43:36","本地管理","修改"
"1071","49","28/5/2020 14:45:50","选举管理","新增"
"1072","49","28/5/2020 14:46:49","选举管理","查看"
"1073","49","28/5/2020 14:46:54","选举管理","查看"
"1074","43","28/5/2020 14:47:22","选举管理","查看"
"1075","1","28/5/2020 14:47:40","组织管理","查看"
"1076","1","28/5/2020 14:48:06","组织管理","查看"
"1077","1","28/5/2020 14:48:35","审批管理","查看"
"1078","43","28/5/2020 14:56:51","选举管理","查看"
"1079","43","28/5/2020 14:56:56","选举管理","修改"
"1080","43","28/5/2020 14:57:01","选举管理","查看"
"1081","43","28/5/2020 14:57:24","选举管理","查看"
