"id","meeting_id","user_id","voted_time"
"1307","100000024","51","27/4/2020 18:03:38"
"1308","100000030","58","28/4/2020 12:51:02"
"1309","100000030","62","28/4/2020 12:51:02"
"1310","100000030","63","28/4/2020 12:51:02"
"1311","100000030","31","28/4/2020 12:51:02"
"1312","100000034","31","28/4/2020 16:15:38"
"1313","100000034","49","28/4/2020 16:15:38"
"1314","100000034","64","28/4/2020 16:15:38"
"1315","100000034","65","28/4/2020 16:15:38"
"1316","100000036","59","28/4/2020 19:12:10"
"1317","100000036","60","28/4/2020 19:12:10"
"1318","100000036","61","28/4/2020 19:12:10"
"1319","100000036","62","28/4/2020 19:12:10"
"1320","100000036","63","28/4/2020 19:12:10"
"1321","100000017","26","28/4/2020 19:35:55"
"1322","100000038","26","28/4/2020 20:32:36"
"1323","100000038","49","28/4/2020 20:32:36"
"1324","100000038","64","28/4/2020 20:32:36"
"1325","100000038","65","28/4/2020 20:32:36"
"1326","100000039","26","28/4/2020 21:43:57"
"1327","100000039","31","28/4/2020 21:43:57"
"1328","100000039","49","28/4/2020 21:43:57"
"1329","100000040","26","29/4/2020 14:06:06"
"1330","100000040","49","29/4/2020 14:06:06"
"1331","100000040","64","29/4/2020 14:06:06"
"1332","100000040","65","29/4/2020 14:06:06"
"1333","100000047","55","29/4/2020 18:17:20"
"1334","100000047","56","29/4/2020 18:17:20"
"1335","100000047","57","29/4/2020 18:17:20"
"1336","100000049","74","30/4/2020 14:30:09"
"1337","100000049","78","30/4/2020 14:30:09"
"1338","100000049","71","30/4/2020 14:30:09"
"1339","100000049","72","30/4/2020 14:30:09"
"1340","100000049","73","30/4/2020 14:30:09"
"1341","100000050","72","8/5/2020 12:03:53"
"1342","100000050","73","8/5/2020 12:03:53"
"1343","100000050","74","8/5/2020 12:03:53"
"1344","100000050","78","8/5/2020 12:03:53"
"1345","100000070","71","11/5/2020 14:58:44"
"1346","100000070","72","11/5/2020 14:58:44"
"1347","100000070","73","11/5/2020 14:58:44"
"1348","100000070","74","11/5/2020 14:58:44"
"1349","100000070","78","11/5/2020 14:58:44"
"1350","100000070","70","11/5/2020 14:58:54"
"1351","100000076","57","12/5/2020 15:27:37"
"1352","100000076","66","12/5/2020 15:27:37"
"1353","100000076","67","12/5/2020 15:27:37"
"1354","100000076","68","12/5/2020 15:27:37"
"1355","100000076","69","12/5/2020 15:27:37"
"1356","100000076","70","12/5/2020 15:27:37"
"1357","100000077","71","12/5/2020 18:36:22"
"1358","100000077","72","12/5/2020 18:36:22"
"1359","100000077","73","12/5/2020 18:36:22"
"1360","100000077","74","12/5/2020 18:36:22"
"1361","100000077","78","12/5/2020 18:36:22"
"1362","100000077","192","12/5/2020 18:36:22"
"1369","100000079","51","14/5/2020 11:38:19"
"1370","100000079","57","14/5/2020 11:38:19"
"1371","100000079","70","14/5/2020 11:38:19"
"1372","100000084","68","14/5/2020 17:14:05"
"1373","100000084","69","14/5/2020 17:14:05"
"1374","100000084","179","14/5/2020 17:14:05"
"1375","100000085","68","14/5/2020 17:50:17"
"1376","100000085","179","14/5/2020 17:50:17"
"1377","100000085","188","14/5/2020 17:50:17"
"1378","100000088","2","15/5/2020 16:11:33"
"1379","100000088","17","15/5/2020 16:11:33"
"1380","100000088","26","15/5/2020 16:11:33"
"1381","100000088","43","15/5/2020 16:11:33"
"1382","100000088","44","15/5/2020 16:11:33"
"1383","100000088","45","15/5/2020 16:11:33"
"1384","100000088","46","15/5/2020 16:11:33"
"1385","100000088","47","15/5/2020 16:11:33"
"1386","100000088","48","15/5/2020 16:11:33"
"1387","100000088","106","15/5/2020 16:11:33"
"1388","100000090","5","19/5/2020 14:41:18"
"1389","100000090","8","19/5/2020 14:41:18"
"1390","100000090","9","19/5/2020 14:41:18"
"1391","100000090","10","19/5/2020 14:41:18"
"1392","100000090","11","19/5/2020 14:41:18"
"1393","100000090","13","19/5/2020 14:41:18"
"1394","100000091","4","21/5/2020 15:27:01"
"1395","100000091","5","21/5/2020 15:27:01"
"1396","100000091","8","21/5/2020 15:27:01"
"1397","100000091","9","21/5/2020 15:27:01"
"1400","100000092","17","22/5/2020 10:34:26"
"1401","100000092","16","22/5/2020 10:36:36"
"1402","100000098","4","27/5/2020 10:44:39"
"1403","100000098","8","27/5/2020 10:44:39"
"1404","100000098","10","27/5/2020 10:44:39"
"1405","100000098","13","27/5/2020 10:44:39"
"1406","100000098","14","27/5/2020 10:44:39"
"1407","100000113","14","28/5/2020 16:30:43"
"1408","100000113","15","28/5/2020 16:30:43"
"1409","100000113","17","28/5/2020 16:30:43"
"1410","100000113","52","28/5/2020 16:30:43"
"1411","100000113","54","28/5/2020 16:30:43"
"1412","100000125","12","29/5/2020 14:33:51"
"1413","100000125","13","29/5/2020 14:33:51"
"1414","100000125","14","29/5/2020 14:33:51"
"1415","100000125","15","29/5/2020 14:33:51"
"1416","100000125","16","29/5/2020 14:33:51"
